seed,test_auroc,test_auprc,val_auroc,val_auprc,train_auroc,best_iteration,fit_seconds
0,0.8689285714285714,0.90363173647801,0.8708002167630058,0.9119218220165214,0.9990514093347027,106,2.82
1,0.8782589285714285,0.9076945114114342,0.8547236271676301,0.898852655135091,0.9998630605956864,136,3.38
2,0.8747321428571428,0.9093191175396582,0.8649295520231214,0.9096627785450618,1.0,211,4.46
