sqi,rho,p
missing_frac,0.03185997643008428,0.010357889927227743
max_gap,0.031159176960381972,0.01216820258537851
n_gaps,0.008048843985200836,0.5173052603895284
flat_frac,0.11366489516910232,4.575337130368565e-20
rough,-0.003631623109902283,0.7701725607843544
