k,gap_len_pts,beats_touched,rmse_per_point,damage,product
1,200.0,0.2105348479135244,0.26172295212745667,0.005965727755718908,0.05510180192163271
2,100.0,0.2272403458469634,0.25498175621032715,0.008525527301399586,0.05794214246590085
5,40.0,0.24998812237599,0.2511993646621704,0.012405487032187171,0.0627968575139376
10,20.0,0.318197367583397,0.22867345809936523,0.017327670768682024,0.07276329240341026
20,10.0,0.4011675234487735,0.2046784609556198,0.01421537223207836,0.08211035128487248
50,4.0,0.6166303033159651,0.16232314705848694,0.010246824927487297,0.10009337140587682
100,2.0,0.8182747532287974,0.11942601203918457,0.006656681497751856,0.09772329053046314
200,1.0,0.9609709624525802,0.08461357653141022,0.0032308064167910766,0.08131119007594433
