k,zero,ffill,linear,best
1,0.2318350076675415,0.31418558955192566,0.2691519856452942,zero
2,0.23763522505760193,0.29586416482925415,0.2601238787174225,zero
5,0.24605917930603027,0.3045685589313507,0.25842705368995667,zero
10,0.24435964226722717,0.28494420647621155,0.2323799431324005,linear
20,0.24877537786960602,0.2604369819164276,0.20681191980838776,linear
