pattern,rate,imputer,auroc,auroc_sd,auprc,d,d_lo,d_hi
burst,0.025,ffill,0.8892127322050444,0.0008063218327922281,0.9239029874157234,-0.00022557564322796728,-0.0032206777808055954,0.0028441369590282936
burst,0.025,linear,0.8895594557554936,0.00010591351127253119,0.9241907309142734,0.0001211479072212122,-0.002542183406167084,0.002824324995585883
burst,0.025,zero,0.8886550998282221,0.0008150123535694282,0.923783507641264,-0.0007832080200502004,-0.003021336941480208,0.0013441735330819646
burst,0.05,ffill,0.8867610270995842,0.0029542710330754717,0.9223869061046847,-0.0026772807486882635,-0.006754874510706562,0.001236574017460256
burst,0.05,linear,0.885688882787493,0.0009816816401382938,0.9216580820632966,-0.0037494250607792803,-0.007735858305014688,8.852105772522236e-05
burst,0.05,zero,0.8890478771835957,0.0011120968589276587,0.9241439591016705,-0.00039043066467669973,-0.003327940276938708,0.002427144772489105
burst,0.1,ffill,0.8850359161011142,0.0018228006137467863,0.9211512677228306,-0.004402391747158174,-0.009567087711692996,0.0009645643710752937
burst,0.1,linear,0.8852702918344549,0.0015586488309132821,0.9212179076219146,-0.0041680160138174065,-0.009250943064373322,0.0009937610515532856
burst,0.1,zero,0.888976009781007,0.001135290185960627,0.9239343649040076,-0.0004622980672654986,-0.004281630133668463,0.003460475306005795
burst,0.2,ffill,0.8828599471525256,0.0022754515259327014,0.9197403576847477,-0.006578360695746799,-0.013035601979466108,8.591467761457342e-05
burst,0.2,linear,0.8809127805468728,0.004584621367076918,0.9181340159349317,-0.008525527301399586,-0.015192758897348094,-0.0020346467166253157
burst,0.2,zero,0.8860822468155408,0.004040434118783587,0.9222272146092831,-0.003356061032731598,-0.008869873542284587,0.0024099814887804803
burst,0.4,ffill,0.8633155336843984,0.001189454938512338,0.9033126501152089,-0.026122774163874096,-0.03562757200974032,-0.01679894152006342
burst,0.4,linear,0.865121018839233,0.0026332934176785355,0.9051753394273009,-0.024317289009039438,-0.0334288362225366,-0.015260182391592136
burst,0.4,zero,0.8674800296621704,0.0009408874013142642,0.9078671591392246,-0.021958278186101927,-0.031117429635422886,-0.013246689221965681
mnar,0.025,ffill,0.8900463940750752,0.0017540954972822462,0.9242236935373728,0.0006080862268028989,-0.003764063665004842,0.004981070765301326
mnar,0.025,linear,0.888181654980147,0.001034677682041013,0.9231530086852473,-0.001256652868125337,-0.005504203927459653,0.002936581304264709
mnar,0.025,zero,0.8901364483305643,0.0004828357988173906,0.9246820940666445,0.0006981404822918499,-0.0031852870061165497,0.004696222701451753
mnar,0.05,ffill,0.8861863812152103,0.004747472556483269,0.9223355959313206,-0.0032519266330621,-0.008907666857374359,0.0026106808566424312
mnar,0.05,linear,0.8849461551819625,0.0011383076721352386,0.921808487971047,-0.004492152666309941,-0.010001144656912082,0.0013296931936574215
mnar,0.05,zero,0.8893189199590736,0.0010579005309953305,0.9241549163158419,-0.00011938788919870398,-0.0047157816106924875,0.004960192753659832
mnar,0.1,ffill,0.873906442135301,0.0015344494169451516,0.9133476011619939,-0.015531865712971493,-0.02404099666238591,-0.007141954675296342
mnar,0.1,linear,0.8718984082397004,0.0030380353493737167,0.9125366326846849,-0.01753989960857198,-0.02610343926468225,-0.00920576832406742
mnar,0.1,zero,0.8848575676081589,0.0022048436258776233,0.9211130390482989,-0.004580740240113494,-0.011438068691559498,0.0024085043607250676
mnar,0.2,ffill,0.8083296372954859,0.0011135765605248676,0.8709581600905539,-0.08110867055278644,-0.09640461414117348,-0.06624542903789415
mnar,0.2,linear,0.7957815888034694,0.0030525891556215305,0.8622048265929222,-0.093656719044803,-0.10924536816616771,-0.07803953660904535
mnar,0.2,zero,0.8297135629335513,0.0009920774995987264,0.881798386681512,-0.05972474491472116,-0.07320943473326347,-0.046178898919140704
mnar,0.4,ffill,0.7512323059521463,0.005352928271310424,0.8130341801918691,-0.13820600189612608,-0.1572509437094531,-0.11893243053675717
mnar,0.4,linear,0.7459396384218975,0.0017188882874188236,0.8037402408275084,-0.14349866942637493,-0.16303453628869244,-0.12399138260439246
mnar,0.4,zero,0.7471077037162194,0.006272865795851144,0.8016762241437855,-0.142330604132053,-0.16203930475455108,-0.12229133623168305
scatter,0.025,ffill,0.8888525151830889,0.0001302482704945789,0.9236964530047467,-0.0005857926651835118,-0.0022836230279464336,0.0010887668321113992
scatter,0.025,linear,0.8899991669248027,0.00040025063325890874,0.9245034072874702,0.0005608590765302512,-0.0008484523362732264,0.0019547562944803067
scatter,0.025,zero,0.8730182197065698,0.0008745058278901642,0.914233747356949,-0.016420088141702593,-0.0218567055652662,-0.011266546222260407
scatter,0.05,ffill,0.8898962058704815,0.0006432193691922915,0.9242573701978545,0.00045789802220911707,-0.0017028158659585983,0.002589295363776348
scatter,0.05,linear,0.8898786056902557,4.623468299982848e-05,0.924447833461771,0.00044029784198333183,-0.0015045836363098365,0.0023388379725730562
scatter,0.05,zero,0.86074942740747,0.0016014037175861437,0.9055046329534263,-0.02868888044080246,-0.036270583928053504,-0.02145671692391096
scatter,0.1,ffill,0.8879821862709208,0.0010072418508617188,0.9230134525149039,-0.0014561215773516434,-0.004358772934769108,0.001333240364833372
scatter,0.1,linear,0.888545978710822,0.0010932775934388772,0.9235793021637463,-0.0008923291374503354,-0.003715005496813357,0.001978980675448312
scatter,0.1,zero,0.8540311452789275,0.0012812024569649296,0.9018472976963549,-0.035407162569344806,-0.04435574851928562,-0.026786040751467528
scatter,0.2,ffill,0.8872054316502869,0.0013754305312105885,0.9226955138232916,-0.002232876197985586,-0.0062717046684403034,0.0017763541729682092
scatter,0.2,linear,0.8868915617695925,0.0008044307691291298,0.9221615793948162,-0.0025467460786798846,-0.006898554650523493,0.0017415669077593691
scatter,0.2,zero,0.851162609238452,0.0013547744683218266,0.8986982006108489,-0.038275698609820386,-0.047849803374063055,-0.028880796703827597
scatter,0.4,ffill,0.8788500394244037,0.0023737549420110105,0.9178311196041142,-0.010588268423868693,-0.017385095237364947,-0.00408257247863384
scatter,0.4,linear,0.8691036462880047,0.0015669598538934667,0.9116141412553906,-0.02033466156026768,-0.02806285600498531,-0.012420834224152208
scatter,0.4,zero,0.8210463541813335,0.0036261753801082462,0.8727560808807583,-0.06839195366693888,-0.08217991701919147,-0.055048919194102874
