pattern,ftype,mean_shift,importance,damage_contrib
scatter,diff_absmean,0.1694478988647461,0.05104752629995346,0.00858019758015871
scatter,diff_std,0.17802079021930695,0.04846315458416939,0.008898311294615269
scatter,hjorth_activity,0.02810116857290268,0.0638318881392479,0.0019992718007415533
scatter,hjorth_complexity,0.16868017613887787,0.04224735125899315,0.007107825484126806
scatter,hjorth_mobility,0.19157028198242188,0.03353177011013031,0.006415126379579306
scatter,kurtosis,0.03527244180440903,0.03924616798758507,0.0014006146229803562
scatter,max,0.018164275214076042,0.05214616283774376,0.0009502276661805809
scatter,mean,0.007277064025402069,0.030959296971559525,0.0002307604590896517
scatter,min,0.017588717862963676,0.07684622704982758,0.0012997682206332684
scatter,relpow_0.5_4,0.16473419964313507,0.07413424551486969,0.012090196833014488
scatter,relpow_15_40,0.3312571048736572,0.11052840948104858,0.036031126976013184
scatter,relpow_4_15,0.06722705066204071,0.0654376670718193,0.004331932403147221
scatter,rms,0.052190572023391724,0.07217220216989517,0.0038911043666303158
scatter,skew,0.03697216510772705,0.12009798735380173,0.004288612399250269
scatter,std,0.05226762220263481,0.051592376083135605,0.0028125341050326824
scatter,zero_cross_rate,0.14227870106697083,0.06771759688854218,0.009314866736531258
burst,diff_absmean,0.45855024456977844,0.05104752629995346,0.02333003468811512
burst,diff_std,0.24536007642745972,0.04846315458416939,0.012130714021623135
burst,hjorth_activity,0.036044374108314514,0.0638318881392479,0.002464612480252981
burst,hjorth_complexity,0.1852811723947525,0.04224735125899315,0.007823389954864979
burst,hjorth_mobility,0.23308248817920685,0.03353177011013031,0.007847975939512253
burst,kurtosis,0.13310937583446503,0.03924616798758507,0.00529116578400135
burst,max,0.02289664000272751,0.05214616283774376,0.001172536751255393
burst,mean,0.052379757165908813,0.030959296971559525,0.0016454813303425908
burst,min,0.022944442927837372,0.07684622704982758,0.0018563647754490376
burst,relpow_0.5_4,0.1947643756866455,0.07413424551486969,0.014210617169737816
burst,relpow_15_40,0.08820781856775284,0.11052840948104858,0.009563591331243515
burst,relpow_4_15,0.1868927925825119,0.0654376670718193,0.012303066439926624
burst,rms,0.06466661393642426,0.07217220216989517,0.00480071734637022
burst,skew,0.016123095527291298,0.12009798735380173,0.0016169239534065127
burst,std,0.07196623831987381,0.051592376083135605,0.0038536752108484507
burst,zero_cross_rate,0.5114644765853882,0.06771759688854218,0.03574986755847931
mnar,diff_absmean,1.1296985149383545,0.05104752629995346,0.0577097125351429
mnar,diff_std,1.0275565385818481,0.04846315458416939,0.05121588334441185
mnar,hjorth_activity,0.20456399023532867,0.0638318881392479,0.014332660473883152
mnar,hjorth_complexity,1.2323065996170044,0.04224735125899315,0.05156483128666878
mnar,hjorth_mobility,1.0909404754638672,0.03353177011013031,0.03687957674264908
mnar,kurtosis,0.3566446006298065,0.03924616798758507,0.014053204096853733
mnar,max,0.223604217171669,0.05214616283774376,0.012622994370758533
mnar,mean,2.2451131343841553,0.030959296971559525,0.07043027132749557
mnar,min,0.1930670291185379,0.07684622704982758,0.015867814421653748
mnar,relpow_0.5_4,1.56870698928833,0.07413424551486969,0.11738218367099762
mnar,relpow_15_40,0.8436281085014343,0.11052840948104858,0.09206077456474304
mnar,relpow_4_15,1.3877172470092773,0.0654376670718193,0.09237441420555115
mnar,rms,0.4038396179676056,0.07217220216989517,0.02990199252963066
mnar,skew,0.11509311199188232,0.12009798735380173,0.01368478313088417
mnar,std,0.41552844643592834,0.051592376083135605,0.022179309278726578
mnar,zero_cross_rate,0.6669396758079529,0.06771759688854218,0.04724392294883728
