k,shift_mean,shift_wimp,damage
1,0.4892939,0.3376871347427368,0.0059657277557189
2,0.4256513,0.3120129108428955,0.0085255273013995
5,0.38284644,0.30359986424446106,0.0124054870321871
10,0.33893642,0.2856982946395874,0.017327670768682
20,0.28714252,0.25217247009277344,0.0142153722320783
50,0.21567261,0.19903028011322021,0.0102468249274872
100,0.16694991,0.16102980077266693,0.0066566814977518
200,0.122286856,0.12244926393032074,0.003230806416791
